GENDER,MARRITAL_STATUS,BVN,MEANS_OF_IDENTIFICATION,EMAIL_ADDRESS,TYPE_OF_LOAN,MONTHLY_INCOME_TOTAL,LOAN_AMOUNT,OUTSTANDING_LOAN_BALANCE,COUNT_OF_CHILDREN,YEAR_OF_BIRTH,YEARS_IN_PRESENT_EMPLOYMENT,OCCUPATION_TYPE,EMPLOYMENT_TYPE,OWN_A_CAR,OWN_A_HOUSE,EDUCATIONAL_QUALIFICATION,HOUSE_TYPE,APARTMENT_TYPE,ACCOMODATION_TYPE,LIVING_REGION_CONDITION,DSTV_OR_GOtv_LASTDAY_RECHARGE,NEPA_LASTDAY_PAY,PHONE_LASTDAY_RECHARGE,TARGET
male,widowed,71349932551,NIN,yes,salary loan,2000000,20000,0,2,1984,six years,teacher,contract,yes,yes,Diploma,Penthouse,five rooms,Living with Parents/Friends/Family,very good,a month ago,a month ago,less than six months,1
female,married,71525042128,NIN,yes,joint mortgage,180000,1000000,0,3,1964,nine years,Driver,permanet,yes,yes,Professional,Bungalow,three rooms,Living with Parents/Friends/Family,bad,a month ago,less than three weeks ago,less than three weeks ago,0
male,widowed,71700151705,Valid INEC Voter’s Card,no,personal home loan,220000,73000,0,5,1972,nine years,Accountant,contract,yes,no,Primary School Leaving Certificate,face-me i face-you,one room,Official Quarters,very bad,less than six months,less than three weeks ago,a month ago,1
male,married,71875261283,NIN,yes,joint mortgage,600000,7000000,0,1,1959,above ten years,Driver,permanet,no,no,Graduate,Semi-detached,five rooms,Living with Parents/Friends/Family,very good,less than three weeks ago,a month ago,a month ago,0
female,divorced,72050370860,National ID Card,yes,automobile loan,280000,4000,0,0,1988,less than one year,Driver,contract,yes,yes,Post Graduate,Terraced,two rooms,Rented,bad,a year ago,three months ago,less than three weeks ago,0
male,widowed,72133385122,National Driver’s Licence,yes,secured overdraft,300000,1000,0,0,1976,nine years,Laborer,contract,yes,yes,Professional,Terraced,four rooms,Living with Parents/Friends/Family,bad,less than three weeks ago,a month ago,less than three weeks ago,1
female,divorced,71847009127,National Driver’s Licence,yes,personal home loan,200000,20000,0,0,2004,three years,Accountant,permanet,yes,no,Diploma,Duplex,Studio,Rented,bad,less than three weeks ago,a year ago,less than three weeks ago,0
female,married,71560633131,National ID Card,yes,personal home loan,108000,4000,0,4,2007,less than one year,Accountant,contract,no,yes,Graduate,Bungalow,one room,Living with Parents/Friends/Family,good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,married,71274257136,National Driver’s Licence,no,joint mortgage,60000,94000,0,2,1963,less than one year,Laborer,contract,yes,yes,Secondary School,Semi-detached,five rooms,Living with Parents/Friends/Family,bad,a month ago,two months ago,a month ago,0
male,divorced,70987881141,NIN,yes,secured overdraft,10000,38000,0,0,1978,above ten years,Driver,permanet,yes,yes,Graduate,face-me i face-you,four rooms,Official Quarters,very good,three months ago,less than three weeks ago,less than six months,0
female,single,70701505145,Valid INEC Voter’s Card,yes,joint mortgage,390000,57000,0,2,1962,above ten years,Driver,permanet,yes,yes,Secondary School,Mansion,four rooms,Rented,bad,less than three weeks ago,a month ago,a month ago,1
female,widowed,70415129150,NIN,yes,automobile loan,47000,570000,0,6,1967,six years,Laborer,contract,yes,yes,Post Graduate,Detached,one room,Official Quarters,very bad,a month ago,less than three weeks ago,less than three weeks ago,1
female,divorced,70128753154,National Driver’s Licence,no,personal home loan,100000,3700000,46000,9,1965,two years,Accountant,contract,no,no,Diploma,face-me i face-you,Studio,Rented,bad,two months ago,a year ago,two months ago,1
female,single,69842377159,NIN,yes,secured overdraft,78000,4200,57000,2,2008,four years,Driver,contract,yes,yes,Graduate,Terraced,five rooms,Rented,very good,a month ago,less than six months,less than three weeks ago,0
male,widowed,69556001163,National Driver’s Licence,yes,secured overdraft,20000000,93000,7300,0,2002,five years,Accountant,contract,yes,yes,Primary School Leaving Certificate,face-me i face-you,two rooms,Rented,very bad,less than three weeks ago,two months ago,two months ago,1
female,divorced,69269625168,NIN,yes,personal home loan,500000,240000,34000,0,1998,four years,Driver,permanet,yes,yes,Professional,Penthouse,five rooms,Official Quarters,good,less than three weeks ago,less than three weeks ago,two months ago,0
male,single,68983249172,Int’l Passport,yes,joint mortgage,30000,72000,43000,0,1972,seven years,Accountant,contract,yes,no,Professional,block of flats,one room,Rented,very good,less than three weeks ago,less than three weeks ago,a month ago,0
male,divorced,68696873177,National Driver’s Licence,no,automobile loan,50000,9000,87000,0,1973,two years,Laborer,permanet,yes,yes,Graduate,face-me i face-you,three rooms,Official Quarters,bad,a month ago,less than three weeks ago,a month ago,0
male,divorced,68410497181,NIN,yes,secured overdraft,200000,19000,300,0,2006,six years,Driver,permanet,yes,yes,Secondary School,Bungalow,Studio,Living with Parents/Friends/Family,very bad,a month ago,two months ago,a month ago,0
female,single,68124121186,Valid INEC Voter’s Card,yes,joint mortgage,4800000,47000,90000,0,2000,above ten years,Laborer,permanet,no,yes,Diploma,Semi-detached,five rooms,Official Quarters,bad,less than six months,three months ago,a month ago,1
male,widowed,67837745190,National Driver’s Licence,yes,joint mortgage,1000000,5000,76500,0,2000,less than one year,Accountant,contract,yes,yes,Graduate,face-me i face-you,four rooms,Rented,very good,less than three weeks ago,two months ago,less than six months,0
female,single,67551369195,NIN,yes,secured overdraft,20000,42000,4345,0,2000,above ten years,Accountant,contract,no,no,Secondary School,Bungalow,one room,Official Quarters,very good,a month ago,less than three weeks ago,less than three weeks ago,1
male,widowed,67264993199,National Driver’s Licence,yes,secured overdraft,7000000,79000,0,0,1985,eight years,Driver,permanet,yes,yes,Post Graduate,face-me i face-you,four rooms,Living with Parents/Friends/Family,bad,a month ago,less than three weeks ago,a year ago,1
male,single,66978617204,National ID Card,yes,personal home loan,100000,65000,0,0,1964,less than one year,Driver,permanet,yes,yes,Graduate,Semi-detached,four rooms,Living with Parents/Friends/Family,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,divorced,66692241208,NIN,no,salary loan,700000,4320000,0,4,1972,above ten years,Laborer,contract,yes,yes,Secondary School,face-me i face-you,one room,Official Quarters,very bad,less than three weeks ago,a month ago,less than three weeks ago,1
male,single,66405865213,Valid INEC Voter’s Card,yes,personal home loan,40000,61000,0,3,1959,above ten years,Driver,permanet,yes,yes,Diploma,Terraced,Studio,Official Quarters,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,divorced,66119489217,National ID Card,no,automobile loan,30000,78600,0,5,1988,less than one year,teacher,contract,no,yes,Primary School Leaving Certificate,Detached,five rooms,Living with Parents/Friends/Family,bad,less than three weeks ago,less than three weeks ago,a month ago,0
female,widowed,65833113222,National Driver’s Licence,yes,joint mortgage,71000,43000,6000,3,1976,three years,Driver,permanet,no,yes,Post Graduate,block of flats,two rooms,Living with Parents/Friends/Family,good,a month ago,less than six months,three months ago,0
male,single,65546737226,Valid INEC Voter’s Card,yes,personal home loan,630000,71000,8400,6,2004,two years,Laborer,permanet,yes,no,Graduate,Penthouse,five rooms,Rented,very good,less than six months,a month ago,less than three weeks ago,1
female,single,84365498275,National Driver’s Licence,yes,secured overdraft,130000,85000,0,3,2007,four years,Driver,permanet,no,yes,Professional,Mansion,one room,Official Quarters,very bad,a month ago,less than three weeks ago,a month ago,1
female,widowed,70852488941,National ID Card,yes,automobile loan,400000,534000,760,5,1963,six years,Laborer,contract,yes,no,Primary School Leaving Certificate,Duplex,three rooms,Living with Parents/Friends/Family,very bad,less than three weeks ago,a month ago,two months ago,1
female,widowed,71195952628,NIN,no,joint mortgage,19900,740000,0,4,1999,three years,teacher,contract,no,yes,Professional,block of flats,one room,Living with Parents/Friends/Family,very good,two months ago,a month ago,a month ago,0
male,widowed,71539416316,NIN,no,joint mortgage,310000,59000,6750,5,1995,six years,Driver,permanet,no,yes,Diploma,block of flats,five rooms,Living with Parents/Friends/Family,good,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
female,widowed,71882880003,NIN,yes,secured overdraft,19000,95000,0,7,1993,two years,teacher,permanet,yes,yes,Secondary School,face-me i face-you,Studio,Rented,very good,a month ago,two months ago,less than three weeks ago,0
female,widowed,72226343690,National Driver’s Licence,no,secured overdraft,67000,650000,8000,7,1992,nine years,Driver,contract,yes,yes,Graduate,Bungalow,four rooms,Living with Parents/Friends/Family,good,three months ago,three months ago,less than three weeks ago,0
female,divorced,72569807378,NIN,yes,automobile loan,380000,32000,9000,3,1999,two years,Laborer,permanet,yes,no,Professional,Terraced,five rooms,Living with Parents/Friends/Family,very good,a month ago,a month ago,a month ago,1
female,divorced,72913271065,Valid INEC Voter’s Card,no,joint mortgage,76400,88000,5400,5,2000,above ten years,Driver,contract,yes,no,,face-me i face-you,one room,Rented,good,less than three weeks ago,less than three weeks ago,a month ago,0
male,divorced,73256734752,National ID Card,no,automobile loan,736000,6600,9300,8,1985,seven years,teacher,permanet,yes,yes,Graduate,block of flats,four rooms,owned,very good,two months ago,less than three weeks ago,less than six months,1
female,divorced,73600198440,NIN,yes,personal home loan,26000,41000000,5600,4,1964,above ten years,Accountant,permanet,yes,no,Diploma,Bungalow,four rooms,Rented,bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
male,single,73943662127,Valid INEC Voter’s Card,yes,joint mortgage,15000,876500,0,2,1972,seven years,Driver,permanet,yes,yes,Secondary School,Semi-detached,two rooms,Rented,good,less than three weeks ago,a month ago,a month ago,0
male,single,74287125814,Int’l Passport,yes,secured overdraft,70000,8700,0,1,1959,less than one year,Laborer,contract,no,no,Professional,block of flats,Studio,Living with Parents/Friends/Family,good,a month ago,less than six months,a month ago,1
male,single,74630589501,National ID Card,yes,personal home loan,894000,8689,7800,3,1988,above ten years,Accountant,contract,yes,no,Primary School Leaving Certificate,Bungalow,five rooms,Official Quarters,good,a month ago,a month ago,less than three weeks ago,1
female,widowed,74974053189,Valid INEC Voter’s Card,yes,secured overdraft,60000,98788,3300,2,1976,above ten years,teacher,permanet,yes,yes,Professional,face-me i face-you,one room,Rented,very bad,less than three weeks ago,a month ago,less than three weeks ago,1
male,widowed,75317516876,National Driver’s Licence,yes,automobile loan,100000,67787,700,5,2004,eight years,Driver,contract,yes,yes,Graduate,block of flats,five rooms,Living with Parents/Friends/Family,very good,less than three weeks ago,less than three weeks ago,less than three weeks ago,0
female,single,75660980563,NIN,yes,joint mortgage,12000,8978,0,3,2007,above ten years,teacher,permanet,no,yes,Primary School Leaving Certificate,block of flats,three rooms,Official Quarters,bad,less than three weeks ago,less than three weeks ago,less than three weeks ago,1
male,widowed,76004444251,National ID Card,no,salary loan,7000000,43680,0,1,1963,less than one year,Driver,contract,yes,yes,Diploma,Terraced,five rooms,Rented,very good,less than six months,less than three weeks ago,a month ago,0
male,single,76347907938,National Driver’s Licence,yes,personal home loan,50000,99675,700,4,1967,above ten years,teacher,contract,yes,yes,Post Graduate,face-me i face-you,Studio,Official Quarters,very bad,a month ago,two months ago,less than six months,0
female,widowed,76691371625,NIN,yes,automobile loan,2000,56789,69000,1,1994,two years,Accountant,permanet,no,yes,Secondary School,Mansion,three rooms,Living with Parents/Friends/Family,good,less than three weeks ago,a month ago,a month ago,0
male,single,77034835312,National ID Card,yes,secured overdraft,40000,45678,0,0,1994,four years,Driver,contract,yes,yes,Graduate,Detached,five rooms,Official Quarters,very bad,less than three weeks ago,a year ago,less than three weeks ago,0
male,widowed,77378299000,Valid INEC Voter’s Card,no,personal home loan,60000,98769,0,0,1983,nine years,teacher,contract,yes,no,Secondary School,Penthouse,one room,Official Quarters,bad,a year ago,a month ago,two months ago,1
female,divorced,77721762687,NIN,yes,secured overdraft,2000,45678,0,3,1979,three years,Driver,permanet,yes,yes,Graduate,Terraced,four rooms,Living with Parents/Friends/Family,good,less than three weeks ago,less than three weeks ago,less than six months,0
male,divorced,78065226374,National Driver’s Licence,yes,secured overdraft,4999,23456,0,3,1964,nine years,Accountant,contract,yes,yes,Diploma,block of flats,five rooms,Official Quarters,very bad,a month ago,less than three weeks ago,two months ago,1
female,single,78408690062,National Driver’s Licence,no,personal home loan,10000,9876,0,3,1972,two years,Driver,contract,yes,yes,Professional,Semi-detached,four rooms,Official Quarters,good,a year ago,two months ago,less than six months,1
female,widowed,78752153749,NIN,yes,secured overdraft,30000,678,8900,3,1959,three years,Driver,contract,no,no,Secondary School,face-me i face-you,one room,Rented,very bad,a month ago,a year ago,three months ago,0
female,widowed,79095617436,National ID Card,yes,joint mortgage,40000,8765,1300,0,1988,eight years,Laborer,contract,no,yes,Post Graduate,block of flats,three rooms,Official Quarters,bad,less than three weeks ago,a month ago,less than three weeks ago,1
male,widowed,79439081123,NIN,yes,salary loan,1000000,45678,54000,3,1976,five years,Accountant,permanet,no,yes,Post Graduate,Duplex,five rooms,Official Quarters,very good,two months ago,a month ago,less than three weeks ago,1
female,widowed,79782544811,National ID Card,yes,personal home loan,2000000,9876,0,4,2004,seven years,Accountant,contract,no,no,Secondary School,Bungalow,one room,Official Quarters,bad,less than three weeks ago,a year ago,less than three weeks ago,0
female,single,80126008498,Int’l Passport,yes,automobile loan,180000,56787,76000,0,2007,five years,Laborer,permanet,no,yes,Professional,Terraced,Studio,Official Quarters,good,less than three weeks ago,a month ago,two months ago,0
female,widowed,80469472185,Valid INEC Voter’s Card,no,joint mortgage,220000,876543,62000,2,1963,six years,Driver,contract,yes,yes,Diploma,face-me i face-you,two rooms,Rented,very bad,a month ago,a month ago,two months ago,1
female,divorced,80812935873,National ID Card,no,salary loan,600000,6789,9800,0,1978,two years,Driver,contract,yes,yes,Graduate,Terraced,five rooms,Official Quarters,very good,less than three weeks ago,less than three weeks ago,a month ago,1
male,widowed,81156399560,NIN,no,personal home loan,,65678,7900,0,1962,above ten years,Laborer,permanet,yes,yes,Secondary School,face-me i face-you,five rooms,owned,very good,less than three weeks ago,less than three weeks ago,a month ago,1
female,single,81499863247,Int’l Passport,no,secured overdraft,300000,66666,0,0,1967,above ten years,Accountant,permanet,yes,yes,Post Graduate,face-me i face-you,three rooms,Official Quarters,good,less than three weeks ago,less than six months,a month ago,0
male,divorced,81843326934,NIN,no,joint mortgage,200000,9000,0,0,1965,six years,Driver,contract,yes,no,Graduate,Terraced,one room,Official Quarters,very bad,less than three weeks ago,two months ago,a month ago,1
male,single,82186790622,National Driver’s Licence,yes,automobile loan,108000,56400,0,2,2008,two years,Accountant,contract,no,no,Secondary School,Penthouse,one room,Rented,very good,less than three weeks ago,less than six months,less than six months,0
male,widowed,82530254309,NIN,yes,secured overdraft,60000,34567,0,2,2002,six years,Driver,permanet,no,no,Diploma,Bungalow,five rooms,Official Quarters,good,less than three weeks ago,three months ago,less than three weeks ago,0
female,widowed,82873717996,National ID Card,yes,secured overdraft,10000,98765,0,0,1998,above ten years,Accountant,contract,no,no,Primary School Leaving Certificate,Semi-detached,two rooms,Living with Parents/Friends/Family,very bad,less than three weeks ago,less than three weeks ago,a year ago,1
male,widowed,83217181684,National Driver’s Licence,yes,personal home loan,390000,967000,6700,0,1972,above ten years,Laborer,contract,yes,no,Professional,Detached,Studio,Rented,very good,less than three weeks ago,less than three weeks ago,two months ago,0
female,single,83560645371,NIN,yes,automobile loan,47000,96000,54000,3,1973,four years,Driver,contract,yes,yes,Graduate,block of flats,five rooms,Official Quarters,good,three months ago,less than three weeks ago,less than three weeks ago,1
male,divorced,83904109058,Valid INEC Voter’s Card,no,joint mortgage,2000000,4600,40000,0,2006,above ten years,Laborer,contract,yes,yes,Post Graduate,Terraced,one room,Living with Parents/Friends/Family,very bad,less than three weeks ago,two months ago,a month ago,0
male,single,84247572746,National Driver’s Licence,no,joint mortgage,180000,9700,89600,3,2000,nine years,Accountant,contract,no,yes,Professional,Mansion,one room,Official Quarters,very good,two months ago,two months ago,three months ago,0
female,divorced,84591036433,National ID Card,no,salary loan,220000,24560,500,3,2000,less than one year,Accountant,permanet,yes,yes,Secondary School,Penthouse,five rooms,Living with Parents/Friends/Family,good,less than three weeks ago,a month ago,a month ago,1
male,single,84934500120,NIN,yes,personal home loan,600000,8300,200,3,2000,above ten years,Driver,permanet,no,yes,Diploma,Duplex,four rooms,owned,bad,a month ago,a month ago,less than three weeks ago,1
male,widowed,85277963807,NIN,yes,joint mortgage,280000,8000,0,3,1985,five years,Driver,permanet,no,no,Secondary School,Bungalow,four rooms,Living with Parents/Friends/Family,very good,a month ago,a month ago,two months ago,1
female,single,85621427495,Valid INEC Voter’s Card,yes,secured overdraft,300000,90900,0,3,1964,eight years,Laborer,contract,yes,no,Post Graduate,Terraced,five rooms,Official Quarters,bad,two months ago,a month ago,less than three weeks ago,0
male,divorced,85964891182,Valid INEC Voter’s Card,no,secured overdraft,200000,653000,0,2,1972,less than one year,Driver,permanet,no,no,Secondary School,face-me i face-you,Studio,Official Quarters,very good,a month ago,less than six months,less than three weeks ago,1
female,divorced,86308354869,Int’l Passport,yes,personal home loan,108000,73640,2100,4,2007,less than one year,teacher,contract,no,yes,Graduate,Penthouse,five rooms,Rented,very bad,a month ago,less than three weeks ago,a month ago,0
female,widowed,86651818557,National ID Card,no,secured overdraft,60000,382670,0,1,1963,seven years,Driver,permanet,no,yes,Graduate,face-me i face-you,three rooms,Official Quarters,good,less than three weeks ago,a year ago,a month ago,0
female,divorced,86995282244,NIN,no,joint mortgage,10000,782345,0,1,1967,three years,Laborer,contract,no,yes,Post Graduate,face-me i face-you,five rooms,Living with Parents/Friends/Family,very bad,less than six months,less than three weeks ago,less than three weeks ago,0
male,single,87338745931,National ID Card,yes,personal home loan,390000,7876457,5600,1,1994,two years,Driver,permanet,yes,no,Diploma,Bungalow,two rooms,Official Quarters,good,a year ago,less than three weeks ago,less than three weeks ago,0
